time,site_id,ghi_wm2,ghi_b_wm2,poa_wm2,poa2_wm2,ref_cell1_wm2,ref_cell2_wm2,temp_amb_c,temp_amb1_c,temp_amb2_c,temp_mod_avg_c,temp_mod1_c,temp_mod2_c,temp_mod3_c,temp_mod4_c,temp_mod5_c,temp_mod6_c,ref_cell1_temp_c,ref_cell2_temp_c,wind_speed_ms,wind_speed_max_ms,wind_dir_deg,precip_mm,precip_dif_mm,ws_com_status,ws_com_quality,ws_num_fails,source,quality,dhi_wm2,dni_wm2
2024-01-04 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,95,,,,,,7,,,,,,,,,,,,4.1,,,,,,,,solcast_historic,0,48,345
2024-01-04 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,172,,,,,,8,,,,,,,,,,,,4.2,,,,,,,,solcast_historic,0,58,548
2024-01-04 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,215,,,,,,8,,,,,,,,,,,,4.1,,,,,,,,solcast_historic,0,61,624
2024-01-04 13:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,217,,,,,,8,,,,,,,,,,,,3.8,,,,,,,,solcast_historic,0,59,643
2024-01-04 14:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,134,,,,,,8,,,,,,,,,,,,3.4,,,,,,,,solcast_historic,0,84,224
2024-01-04 15:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,37,,,,,,7,,,,,,,,,,,,2.9,,,,,,,,solcast_historic,0,37,0
2024-01-04 16:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,4,,,,,,7,,,,,,,,,,,,2.6,,,,,,,,solcast_historic,0,4,0
2024-01-04 17:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,6,,,,,,,,,,,,2.2,,,,,,,,solcast_historic,0,0,0
2024-01-04 18:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,6,,,,,,,,,,,,1.9,,,,,,,,solcast_historic,0,0,0
2024-01-04 19:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,6,,,,,,,,,,,,2.2,,,,,,,,solcast_historic,0,0,0
2024-01-04 20:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,6,,,,,,,,,,,,3.2,,,,,,,,solcast_historic,0,0,0
2024-01-04 21:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,7,,,,,,,,,,,,4.8,,,,,,,,solcast_historic,0,0,0
2024-01-04 22:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,7,,,,,,,,,,,,5.9,,,,,,,,solcast_historic,0,0,0
2024-01-04 23:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,8,,,,,,,,,,,,5.9,,,,,,,,solcast_historic,0,0,0
