time,site_id,p_ac_kw,p_dc_kw,p_dc_stc_kw,poa_total_wm2,t_cell_c,tier_used,fit_quality,source,quality
2024-11-26 09:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2171.425875641791,2244.44067294979,28399.68,79.58780904542665,6.744407208462988,3,low,physics_sdm,0
2024-11-26 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,6452.037619264086,6668.989173668361,28399.68,234.05903648906198,13.071001258243516,3,low,physics_sdm,0
2024-11-26 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,8962.590742806422,9263.960342285447,28399.68,328.31142876738545,18.3210837505995,3,low,physics_sdm,0
2024-11-26 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,9835.75242664963,10166.482329917095,28399.68,361.0455733582042,19.449847357179454,3,low,physics_sdm,0
2024-11-26 13:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,8900.544777521189,9199.828064209203,28399.68,327.0193300623446,19.276528622839468,3,low,physics_sdm,0
2024-11-26 14:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,6423.138133245151,6639.1179344168395,28399.68,235.18528859338895,16.109837537703065,3,low,physics_sdm,0
2024-11-26 15:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2837.9013594688367,2933.326579765831,28399.68,104.74329568406728,11.611837782209216,3,low,physics_sdm,0
2024-11-26 16:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,487.1623028281734,503.54327037401873,28399.68,18.803516150540784,6.648397108639338,3,low,physics_sdm,0
2024-11-26 17:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,0,28399.68,0,5,3,low,physics_sdm,0
2024-11-26 18:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,4,3,low,physics_sdm,0
2024-11-26 19:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,3,3,low,physics_sdm,0
2024-11-26 20:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,3,3,low,physics_sdm,0
2024-11-26 21:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,3,3,low,physics_sdm,0
2024-11-26 22:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,3,3,low,physics_sdm,0
2024-11-26 23:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,3,3,low,physics_sdm,0
2024-11-27 00:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,3,3,low,physics_sdm,0
2024-11-27 01:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,4,3,low,physics_sdm,0
2024-11-27 02:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,0,28399.68,0,5,3,low,physics_sdm,0
2024-11-27 03:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,0,28399.68,0,5,3,low,physics_sdm,0
2024-11-27 04:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,3.5964868299852556e-43,3.71741969712015e-43,28399.68,0,6,3,low,physics_sdm,0
2024-11-27 05:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,7,3,low,physics_sdm,0
2024-11-27 06:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,7,3,low,physics_sdm,0
2024-11-27 07:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,7,3,low,physics_sdm,0
2024-11-27 08:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,7,3,low,physics_sdm,0
2024-11-27 09:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,152.8087856337972,157.94702343186873,28399.68,6.205854020774309,8.213994966233598,3,low,physics_sdm,0
